stateabb,year,gcs_mn_all,gcs_mn_ecd,gcs_mn_blk,gcs_mn_wht,gcs_mn_fem,gcs_mn_mal,gap_ecd,gap_black_white,gap_female_male
AL,2009,6.680761571119153,5.451946044892217,5.179550192992463,7.598265700916224,6.911253480447549,6.452363206588466,1.2288155262269367,2.4187155079237614,0.4588902738590823
AL,2010,6.715474592063854,5.537557884022513,5.164428512782659,7.610539713191538,,,1.1779167080413417,2.446111200408879,
AL,2011,6.748974084844027,5.626749381569018,5.314083291277388,7.604077101853383,6.986996352957587,6.506386489981331,1.122224703275009,2.2899938105759947,0.4806098629762561
AL,2012,6.760139471355488,5.656291765570232,5.266977674344451,7.633166646764559,6.939944241900953,6.586143673964574,1.103847705785256,2.366188972420108,0.3538005679363794
AL,2013,6.745164641384644,5.65850771822935,5.163253449559455,7.671809325710095,6.967769749953395,6.525172358685134,1.086656923155294,2.5085558761506404,0.4425973912682615
AL,2014,6.665158412026097,5.560715682285066,5.072202988562006,7.664747306900756,6.922641335655001,6.386631042681884,1.1044427297410309,2.5925443183387493,0.536010292973117
AL,2015,6.538624002791598,5.468941390995987,4.896931478371457,7.551621499816299,6.765700692231681,6.301408657720653,1.0696826117956109,2.654690021444843,0.4642920345110273
AL,2016,6.644831921373244,,4.952342666736556,7.661518741116538,6.857192549953854,6.429816499080506,,2.7091760743799815,0.42737605087334885
AL,2017,6.696585615406432,5.614764242559107,4.918781918293686,7.727967275334208,6.9254239116518,6.464843696325997,1.0818213728473252,2.8091853570405227,0.46058021532580273
AL,2018,6.699025827235874,5.419398025424798,4.924934909742526,7.714844871714402,6.93043761248901,6.466083846076275,1.2796278018110758,2.789909961971876,0.46435376641273507
AL,2019,6.691763548858344,5.417967258923644,4.938950842526522,7.701189251581168,6.939662921822465,6.442533288532874,1.2737962899346993,2.762238409054646,0.4971296332895907
AK,2009,8.015010698467671,6.694024054745047,5.938770354697268,8.839395825819143,8.066021262598024,7.965763329824529,1.320986643722624,2.9006254711218746,0.10025793277349493
